review_observation_id,source_event_cluster_id,normalized_borrower,source_ticker,target_ticker,target_prior_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_constituent_descriptions,target_prior_aggregation_lot_count,target_prior_evidence_id,target_current_identifier,target_current_facility_type,target_current_lien,target_current_currency,target_current_reference_rate,target_current_spread,target_current_maturity,target_current_funded_status,target_current_constituent_descriptions,target_current_aggregation_lot_count,target_current_evidence_id,target_current_same_facility,target_current_aggregation_valid,position_status,structural_notes
D5EV_569cd152db6e30a43d2ab998,D5EC_8697acaad0cd9c0c406dd8dc,allen media,OFS,CION,"Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity""]",1,EVID_f93a08c1f1ca898c0e215de547dd,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_deab4cbeab2e294dcf2d44e2,D5EC_f36d7a6823f20664245db17b,community brands parentco,NMFC,OTF,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,EVID_0f83365910226807ca59824826e8,"Community Brands ParentCo, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien senior secured loan""]",1,D5SE_1b3b55aaa485a8b9d98a4086,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Community Brands ParentCo, LLC, First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.055, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.055, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_7b9a3eb8893e474f29a2a17c,D5EC_be5f932c2c95a41f48c0c341,inw manufacturing,CSWC,CION,"INW Manufacturing, LLC., Senior Secured First Lien Debt, 3/25/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""INW Manufacturing, LLC., Senior Secured First Lien Debt, 3/25/2027 Maturity""]",1,EVID_83ae05c063393360703c15f20c3e,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'INW Manufacturing, LLC., Senior Secured First Lien Debt, 3/25/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_4e71db62dd760aa9577c481e,D5EC_7c9e8a416e6aac97106a086e,lift brands a,CSWC,WHF,"Lift Brands, Inc First Lien Secured Term Loan A",term_loan,first_lien,UNKNOWN,SOFR,0.075,2025-06-29,funded,"[""Lift Brands, Inc First Lien Secured Term Loan A""]",1,EVID_68357de2969674f1e8339c90da1e,"Lift Brands, Inc First Lien Secured Term Loan A",term_loan,first_lien,UNKNOWN,SOFR,0.075,2025-06-29,funded,"[""Lift Brands, Inc First Lien Secured Term Loan A""]",1,D5SE_2a8d51ba1658360fbdbfd2f1,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Lift Brands, Inc First Lien Secured Term Loan A'); facility type term_loan, lien first_lien, currency UNKNOWN, reference rate SOFR, spread 0.075, maturity 2025-06-29 and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, term-loan type, first-lien, reference rate SOFR, spread 0.075, maturity 2025-06-29, funded status, and one-lot constituent descriptions match. currency is not displayed."
D5EV_5e8755cc94dc4d48778758fd,D5EC_91c4bd3c4b21578fef61cf44,lift brands b,CSWC,WHF,"Lift Brands, Inc First Lien Secured Term Loan B",term_loan,first_lien,UNKNOWN,UNKNOWN,0.095,2025-06-29,funded,"[""Lift Brands, Inc First Lien Secured Term Loan B""]",1,EVID_c6bee0f2a14afdf999f55f520d12,"Lift Brands, Inc First Lien Secured Term Loan B",term_loan,first_lien,UNKNOWN,UNKNOWN,0.095,2025-06-29,funded,"[""Lift Brands, Inc First Lien Secured Term Loan B""]",1,D5SE_1f64b4d73713873bbd384c89,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Lift Brands, Inc First Lien Secured Term Loan B'); facility type term_loan, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.095, maturity 2025-06-29 and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, term-loan type, first-lien, spread 0.095, maturity 2025-06-29, funded status, and one-lot constituent descriptions match. currency and reference rate are not displayed."
D5EV_0e8e49fa34bce6522ebdf311,D5EC_ee20e041c64ff093603d0786,petvet care centers,ARCC,OTF,"PetVet Care Centers, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""PetVet Care Centers, LLC, First lien senior secured loan""]",1,EVID_918dda0ae882124685a9c9a4534c,"PetVet Care Centers, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""PetVet Care Centers, LLC, First lien senior secured loan""]",1,D5SE_df5638afbdbdcfe3308d8e6f,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('PetVet Care Centers, LLC, First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.06, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.06, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_210d833e27e3a4b2bc514032,D5EC_abc2fffd1932452d417bdd7c,statinmed,CSWC,CION,"STATinMED, LLC., Senior Secured First Lien Debt, 7/1/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""STATinMED, LLC., Senior Secured First Lien Debt, 7/1/2027 Maturity""]",1,EVID_a9bebbd86a2b381f1741f785c7e2,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'STATinMED, LLC., Senior Secured First Lien Debt, 7/1/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_84d045c1c425e93bbf4e15ca,D5EC_e4360b224ff42b11714a8d09,allen media,OFS,CION,"Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity""]",1,EVID_88b767bfa3d1f707c3e84158c49d,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'Allen Media, LLC, Senior Secured First Lien Debt, 2/10/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_528e28cd9f932f606a886dfc,D5EC_02533430c56efca24fe1b5ab,isagenix international,CSWC,CION,"Isagenix International, LLC., Senior Secured First Lien Debt, 4/14/2028 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""Isagenix International, LLC., Senior Secured First Lien Debt, 4/14/2028 Maturity""]",1,EVID_df6bd3819ad1c5227601a13eb324,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'Isagenix International, LLC., Senior Secured First Lien Debt, 4/14/2028 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_96fd27c17c4971c1b3c580e0,D5EC_418b1e0127c211fda3c9630e,jp intermediate b,OFS,CION,"JP Intermediate B, LLC., Senior Secured First Lien Debt, 11/20/2027 Maturity",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,"[""JP Intermediate B, LLC., Senior Secured First Lien Debt, 11/20/2027 Maturity""]",1,EVID_6bbeb51e82bbdb8c342c1cd81d0b,,,,,,,,,[],,,uncertain,uncertain,unmatched_disappearance,"Reviewer I: No target-current candidate displayed: current identifier, facility type, lien, currency, reference rate, spread, maturity, funded status, constituent descriptions and aggregation lot count are all blank. Target-prior shows 'JP Intermediate B, LLC., Senior Secured First Lien Debt, 11/20/2027 Maturity' (other_debt, first_lien, currency UNKNOWN, reference rate UNKNOWN, spread blank, maturity blank, funded, 1 lot). Blank current side is missing evidence, not proof of difference, so same-facility and aggregation cannot be judged; displayed structure does not distinguish repayment, sale or amendment, so the position is recorded only as unmatched. | Reviewer J: No current candidate or constituents are displayed for the prior funded first-lien other-debt; displayed fields cannot distinguish repayment from sale."
D5EV_8db09e90c91ed9cfa2d63914,D5EC_f7de0219c42bf43e6527653a,nellson nutraceutical,OBDC,MSDL,"Nellson Nutraceutical, Inc., First Lien Debt",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0575,,funded,"[""Nellson Nutraceutical, Inc., First Lien Debt""]",1,EVID_8e0d9608a049bc4ff49c2f55288e,"Nellson Nutraceutical, Inc., First Lien Debt",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0575,,funded,"[""Nellson Nutraceutical, Inc., First Lien Debt""]",1,D5SE_0b22f79585115812a6d33de3,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Nellson Nutraceutical, Inc., First Lien Debt'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.0575, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.0575, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_223148adf3c57f1ce429ef5e,D5EC_5f513e79f9d4babae29dba44,petvet care centers,ARCC,OTF,"PetVet Care Centers, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""PetVet Care Centers, LLC, First lien senior secured loan""]",1,EVID_564036619991295225b2cbccf02c,"PetVet Care Centers, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""PetVet Care Centers, LLC, First lien senior secured loan""]",1,D5SE_2076aa63fabd06bedc688f67,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('PetVet Care Centers, LLC, First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.06, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.06, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_2c8443f93602d23959d6c67a,D5EC_6176c448c6117d8dfcaf88f3,pye barker fire and safety,ASIF,OTF,"Pye-Barker Fire & Safety, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,"[""Pye-Barker Fire & Safety, LLC, First lien senior secured loan""]",1,EVID_f5a39cc5857b06a58481c06818bd,"Pye-Barker Fire & Safety, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,"[""Pye-Barker Fire & Safety, LLC, First lien senior secured loan""]",1,D5SE_4cd62720866bed0ef611e936,yes,yes,continuing,"Reviewer I: Target-prior and target-current identifiers are identical ('Pye-Barker Fire & Safety, LLC, First lien senior secured loan'); facility type other_debt, lien first_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.045, maturity blank and funded status funded agree on both sides; 1 aggregation lot on each side with identical constituent description. No displayed structural conflict in debt form, lien, currency or funded status. | Reviewer J: Prior/current identifier, other-debt type, first-lien, spread 0.045, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_5faab35be7673c082434fcab,D5EC_2e10a4a2316e3730d442caa9,realpage,ASIF,OTF,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,EVID_7523f50212bb2a4137ee7a7574f1,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""RealPage, Inc., Second lien senior secured loan""]",1,D5SE_360cae5ccc76d4913e180dec,yes,yes,continuing,"Reviewer I: Identifier and constituent description differ only in letter case ('REALPAGE, INC., Second lien senior secured loan' vs 'RealPage, Inc., Second lien senior secured loan'), which is lender-specific wording rather than a structural difference; facility type other_debt, lien second_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.065, maturity blank, funded status funded and 1 aggregation lot are identical on both sides. | Reviewer J: Prior/current identifier apart from capitalization, other-debt type, second-lien, spread 0.065, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
D5EV_40fd3f8ad25d3a39cff86129,D5EC_f24adc0d35cc52cf771e6cde,realpage,CIK1766037,OTF,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,EVID_7523f50212bb2a4137ee7a7574f1,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""RealPage, Inc., Second lien senior secured loan""]",1,D5SE_32dc0cb0b00df359c15fda32,yes,yes,continuing,"Reviewer I: Identifier and constituent description differ only in letter case ('REALPAGE, INC., Second lien senior secured loan' vs 'RealPage, Inc., Second lien senior secured loan'), which is lender-specific wording rather than a structural difference; facility type other_debt, lien second_lien, currency UNKNOWN, reference rate UNKNOWN, spread 0.065, maturity blank, funded status funded and 1 aggregation lot are identical on both sides. | Reviewer J: Prior/current identifier apart from capitalization, other-debt type, second-lien, spread 0.065, funded status, and one-lot constituent descriptions match. currency, reference rate, and maturity are not displayed."
