cik,fund_id,filer_name,verified_equity_ticker,verified_exchange,listing_status,verification_status,evidence_source,evidence_accession,evidence_statement,evidence_excerpt_sha256
1552198,WHF,"WHITEHORSE FINANCE, INC.",WHF,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1552198/000110465926024735/whf-20251231x10k.htm,0001104659-26-024735,Official 10-K cover evidence links common stock ticker WHF to Nasdaq.,e7da9aabd177a2a0abfadf0455b871575a82e240e68a0961cff0b1139544a665
1655887,CIK1655887,BLUE OWL CAPITAL CORP II,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1655887/000165588726000010/obdc-20251231.htm,0001655887-26-000010,No reproducible official 10-K cover match established a listed common-equity ticker.,
1661306,CIK1661306,"HANCOCK PARK CORPORATE INCOME, INC.",,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1661306/000166130626000023/hpci-20251231.htm,0001661306-26-000023,No reproducible official 10-K cover match established a listed common-equity ticker.,
1715933,CIK1715933,TCW DIRECT LENDING VII LLC,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1715933/000119312526141887/ck0001715933-20251231.htm,0001193125-26-141887,No reproducible official 10-K cover match established a listed common-equity ticker.,
1737924,NCDL,NUVEEN CHURCHILL DIRECT LENDING CORP.,NCDL,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1737924/000173792426000014/ncdlc-20251231.htm,0001737924-26-000014,Official 10-K cover evidence links common stock ticker NCDL to NYSE.,df9c920eced58686e5f17dabd64763b35f7898362aabf801242736568ca81b00
1747777,OTF,BLUE OWL TECHNOLOGY FINANCE CORP.,OTF,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1747777/000174777726000012/ortf-20251231.htm,0001747777-26-000012,Official 10-K cover evidence links common stock ticker OTF to NYSE.,1204fa900cb973bd8f348bfb25a36cd663bc3d3f5a0983f39ad67418815de1f5
1766037,CIK1766037,"NMF SLF I, INC.",,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1766037/000176603726000004/nmslf-20251231.htm,0001766037-26-000004,No reproducible official 10-K cover match established a listed common-equity ticker.,
1781870,CIK1781870,"NEW MOUNTAIN GUARDIAN III BDC, L.L.C.",,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1781870/000178187024000004/nmg3-20231231.htm,0001781870-24-000004,No reproducible official 10-K cover match established a listed common-equity ticker.,
1782524,MSDL,MORGAN STANLEY DIRECT LENDING FUND,MSDL,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1782524/000119312526076632/msdl-20251231.htm,0001193125-26-076632,Official 10-K cover evidence links common stock ticker MSDL to NYSE.,1f0ef5e68a8368b14ee7da2e0e6bc59ca7cbf4d12348b0f24bfa1cc0a0856cc8
1794776,PSBD,PALMER SQUARE CAPITAL BDC INC.,PSBD,NYSE,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1794776/000119312526073362/psbd-20251231.htm,0001193125-26-073362,Official 10-K cover evidence links common stock ticker PSBD to NYSE.,98c84de92f16bb986c9d98ac9c32c4b4a9d3847884eb471547e4055a0cb2d0db
1807427,CIK1807427,BLUE OWL CAPITAL CORP III,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1807427/000180742724000010/orcc-20231231.htm,0001807427-24-000010,No reproducible official 10-K cover match established a listed common-equity ticker.,
1811972,CIK1811972,BARINGS CAPITAL INVESTMENT CORP,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1811972/000181197226000004/bdc-20251231.htm,0001811972-26-000004,No reproducible official 10-K cover match established a listed common-equity ticker.,
1843162,LIEN,"CHICAGO ATLANTIC BDC, INC.",LIEN,Nasdaq,verified_listed_equity,verified,https://www.sec.gov/Archives/edgar/data/1843162/000119312526115112/lien-20251231.htm,0001193125-26-115112,Official 10-K cover evidence links common stock ticker LIEN to Nasdaq.,20ec0edecace27ac26e819baa8f017d2d9e20cadec7d08f75fd41545af979c7c
1859919,CIK1859919,BARINGS PRIVATE CREDIT CORP,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1859919/000185991926000022/bdc-20251231.htm,0001859919-26-000022,No reproducible official 10-K cover match established a listed common-equity ticker.,
1869453,CIK1869453,BLUE OWL TECHNOLOGY INCOME CORP.,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1869453/000186945326000017/ortic-20251231.htm,0001869453-26-000017,No reproducible official 10-K cover match established a listed common-equity ticker.,
1872371,CIK1872371,OAKTREE STRATEGIC CREDIT FUND,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1872371/000187237125000018/oscf-20250930.htm,0001872371-25-000018,No reproducible official 10-K cover match established a listed common-equity ticker.,
1889668,CIK1889668,BLUE OWL TECHNOLOGY FINANCE CORP. II,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1889668/000188966825000006/ortf-20241231.htm,0001889668-25-000006,No reproducible official 10-K cover match established a listed common-equity ticker.,
1901037,CIK1901037,STELLUS PRIVATE CREDIT BDC,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1901037/000110465926027592/tmb-20251231x10k.htm,0001104659-26-027592,No reproducible official 10-K cover match established a listed common-equity ticker.,
1923622,PGIM,PGIM PRIVATE CREDIT FUND,,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1923622/000119312526111462/ck0001923622-20251231.htm,0001193125-26-111462,No reproducible official 10-K cover match established a listed common-equity ticker.,
1925531,CIK1925531,"NEW MOUNTAIN GUARDIAN IV BDC, L.L.C.",,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1925531/000192553126000003/nmg4-20251231.htm,0001925531-26-000003,No reproducible official 10-K cover match established a listed common-equity ticker.,
1976719,CIK1976719,"NEW MOUNTAIN GUARDIAN IV INCOME FUND, L.L.C.",,,not_verified_as_listed_equity,unverified_or_nonlisted,https://www.sec.gov/Archives/edgar/data/1976719/000197671926000005/nmg4-20251231.htm,0001976719-26-000005,No reproducible official 10-K cover match established a listed common-equity ticker.,
