field,stage,archive,fund,cik,source_table,source_column_or_concept,raw_row_count,non_missing_count,non_missing_percentage,normalized_row_count,normalized_non_missing_count,normalized_coverage,aggregated_row_count,aggregated_non_missing_count,aggregated_coverage,blind_row_count,blind_non_missing_count,blind_coverage,aggregation_loss_count,export_loss_count,direct_parser_loss_count,support_join_loss_count,support_unmatched_count,exact_loss_stage,representative_raw_examples_json,diagnosis,recommended_action
acquisition_date,normalized,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},2758,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,aggregated,2024q1,ARCC,1287750,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},2240,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,blind_export,2024q1,ARCC,1287750,data/day3/blind_facility_pairs_v2.csv,{},2,0,0.000000,2758,0,0.000000,2240,0,0.000000,2,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,raw_soi,2024q1,ASIF,1918712,soi.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,supporting_facts,2024q1,ASIF,1918712,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,normalized,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},533,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,aggregated,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},461,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,blind_export,2024q1,ASIF,1918712,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
currency,raw_soi,2024q1,ASIF,1918712,soi.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,supporting_facts,2024q1,ASIF,1918712,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,normalized,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},533,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,aggregated,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},461,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,blind_export,2024q1,ASIF,1918712,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
reference_rate,raw_soi,2024q1,ASIF,1918712,soi.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,supporting_facts,2024q1,ASIF,1918712,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,normalized,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},533,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,aggregated,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},461,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,blind_export,2024q1,ASIF,1918712,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
acquisition_date,raw_soi,2024q1,ASIF,1918712,soi.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,supporting_facts,2024q1,ASIF,1918712,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},457,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,normalized,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},533,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,aggregated,2024q1,ASIF,1918712,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},461,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,blind_export,2024q1,ASIF,1918712,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,533,0,0.000000,461,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,raw_soi,2024q1,BBDC,1379785,soi.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,supporting_facts,2024q1,BBDC,1379785,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,normalized,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,aggregated,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,blind_export,2024q1,BBDC,1379785,data/day3/blind_facility_pairs_v2.csv,{},0,0,,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
currency,raw_soi,2024q1,BBDC,1379785,soi.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,supporting_facts,2024q1,BBDC,1379785,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,normalized,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,aggregated,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,blind_export,2024q1,BBDC,1379785,data/day3/blind_facility_pairs_v2.csv,{},0,0,,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
reference_rate,raw_soi,2024q1,BBDC,1379785,soi.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,supporting_facts,2024q1,BBDC,1379785,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,normalized,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,aggregated,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,blind_export,2024q1,BBDC,1379785,data/day3/blind_facility_pairs_v2.csv,{},0,0,,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
acquisition_date,raw_soi,2024q1,BBDC,1379785,soi.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,supporting_facts,2024q1,BBDC,1379785,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},1129,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,normalized,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,aggregated,2024q1,BBDC,1379785,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},1787,0,0.000000,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,blind_export,2024q1,BBDC,1379785,data/day3/blind_facility_pairs_v2.csv,{},0,0,,1787,0,0.000000,1787,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,raw_soi,2024q1,BCRED,1803498,soi.tsv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,supporting_facts,2024q1,BCRED,1803498,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,normalized,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,aggregated,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},2646,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,blind_export,2024q1,BCRED,1803498,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
currency,raw_soi,2024q1,BCRED,1803498,soi.tsv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,supporting_facts,2024q1,BCRED,1803498,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,normalized,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,aggregated,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},2646,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,blind_export,2024q1,BCRED,1803498,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
reference_rate,raw_soi,2024q1,BCRED,1803498,soi.tsv,{},2650,0,0.000000,2650,3,0.113208,2646,3,0.113379,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,supporting_facts,2024q1,BCRED,1803498,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2650,0,0.000000,2650,3,0.113208,2646,3,0.113379,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,normalized,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,"{""reference_rate"":3}",2650,3,0.113208,2650,3,0.113208,2646,3,0.113379,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,aggregated,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,"{""reference_rate"":3}",2646,3,0.113379,2650,3,0.113208,2646,3,0.113379,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,blind_export,2024q1,BCRED,1803498,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,2650,3,0.113208,2646,3,0.113379,1,0,0.000000,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
acquisition_date,raw_soi,2024q1,BCRED,1803498,soi.tsv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,supporting_facts,2024q1,BCRED,1803498,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,normalized,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},2650,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,aggregated,2024q1,BCRED,1803498,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},2646,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
acquisition_date,blind_export,2024q1,BCRED,1803498,data/day3/blind_facility_pairs_v2.csv,{},1,0,0.000000,2650,0,0.000000,2646,0,0.000000,1,0,0.000000,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,raw_soi,2024q1,BXSL,1736035,soi.tsv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,supporting_facts,2024q1,BXSL,1736035,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,normalized,2024q1,BXSL,1736035,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,aggregated,2024q1,BXSL,1736035,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
maturity,blind_export,2024q1,BXSL,1736035,data/day3/blind_facility_pairs_v2.csv,{},0,0,,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,supporting_facts_to_normalized,[],join_loss,Join explicitly tagged supporting facts to SOI rows and supersede the blind benchmark.
currency,raw_soi,2024q1,BXSL,1736035,soi.tsv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,supporting_facts,2024q1,BXSL,1736035,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,normalized,2024q1,BXSL,1736035,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,aggregated,2024q1,BXSL,1736035,/private/tmp/finance-day3-sec-cache/bdc_facilities_agg.csv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
currency,blind_export,2024q1,BXSL,1736035,data/day3/blind_facility_pairs_v2.csv,{},0,0,,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,official_source,[],source_absent,Treat the field as unavailable in the inspected free SEC archives; use abstention.
reference_rate,raw_soi,2024q1,BXSL,1736035,soi.tsv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,supporting_facts,2024q1,BXSL,1736035,datasets/num.tsv|datasets/txt.tsv|datasets/non.tsv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
reference_rate,normalized,2024q1,BXSL,1736035,/private/tmp/finance-day3-sec-cache/bdc_soi_normalized.csv,{},591,0,0.000000,591,0,0.000000,591,0,0.000000,0,0,,0,0,0,0,0,raw_soi_to_normalized,[],parser_loss,Repair direct SOI parsing and supersede the blind benchmark.
