blind_pair_id,period_end,quarter,left_ticker,right_ticker,left_identifier,right_identifier,left_borrower_norm,right_borrower_norm,left_debt_equity,right_debt_equity,left_facility_type,right_facility_type,left_lien,right_lien,left_currency,right_currency,left_reference_rate,right_reference_rate,left_spread,right_spread,left_maturity,right_maturity,left_funded_status,right_funded_status,left_acquisition_date,right_acquisition_date,manual_label,label_notes
BF2_797a618301e29b5f87e2d1,2024-03-31,2024Q1,HPS,NMFC,"Calabrio, Inc. 2","Calabrio, Inc., First lien 1",calabrio,calabrio,unknown,debt,unknown,other_debt,unknown,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0713,0.0713,,,funded,funded,,,,
BF2_9e0aea07a5c055998a25fc,2025-06-30,2025Q2,ARCC,ASIF,"RWA Wealth Partners, LLC, First lien senior secured revolving loan","RWA Wealth Partners, LLC, First lien senior secured revolving loan",rwa wealth partners,rwa wealth partners,debt,debt,revolver,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.0475,,,funded,funded,,,,
BF2_e14b4042bac07dd951df1c,2024-03-31,2024Q1,OCIC,NMFC,"Dealer Tire Financial, LLC, First lien senior secured loan","Dealer Tire Financial, LLC, First lien - Funded",dealer tire financial,dealer tire financial,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0375,0.0375,,,funded,funded,,,,
BF2_e1c78c86bf72af1f1c9920,2025-03-31,2025Q1,ASIF,ARCC,"North Haven Fairway Buyer, LLC and Fairway Lawns, LLC, First lien senior secured loan 1","North Haven Fairway Buyer, LLC and Fairway Lawns, LLC, First lien senior secured loan 1",north haven fairway buyer and fairway lawns,north haven fairway buyer and fairway lawns,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_0c88706593d3e8c450e4ab,2025-03-31,2025Q1,ARCC,ASIF,"Gestion ABS Bidco Inc. / ABS Bidco Holdings Inc., First lien senior secured loan","Gestion ABS Bidco Inc. / ABS Bidco Holdings Inc., First lien senior secured loan",gestion abs bidco abs bidco,gestion abs bidco abs bidco,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0575,0.0575,,,funded,funded,,,,
BF2_9daeca876e697e05688f42,2023-12-31,2023Q4,OBDC,OCIC,"Capstone Acquisition Holdings, Inc., First lien senior secured loan","Capstone Acquisition Holdings, Inc., First lien senior secured loan",capstone acquisition,capstone acquisition,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.0475,,,funded,funded,,,,
BF2_22bf20fc48b40b94dec7f2,2024-12-31,2024Q4,OCIC,ARCC,"Galway Borrower LLC, First lien senior secured delayed draw term loan","Galway Borrower LLC, First lien senior secured revolving loan",galway borrower,galway borrower,debt,debt,delayed_draw,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.045,0.045,,,unknown,funded,,,,
BF2_299871438c43daaebbfcee,2024-06-30,2024Q2,ARCC,ASIF,"BGI Purchaser, Inc., First lien senior secured loan","BGI Purchaser, Inc., First lien senior secured revolving loan",bgi purchaser,bgi purchaser,debt,debt,other_debt,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.04,,,funded,funded,,,,
BF2_662e01a5b8387b908070e8,2024-09-30,2024Q3,OBDC,OCIC,"SWK BUYER, Inc. (dba Stonewall Kitchen), First lien senior secured loan","SWK BUYER, Inc. (dba Stonewall Kitchen), First lien senior secured loan",swk buyer dba stonewall kitchen,swk buyer dba stonewall kitchen,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,,,funded,funded,,,,
BF2_3851086ab78ed19fc5eab4,2025-03-31,2025Q1,ARCC,ASIF,"PumpTech, LLC and Impel CV-B, LP, First lien senior secured loan","PumpTech, LLC and Impel CV-B, LP, First lien senior secured loan",pumptech and impel cv b,pumptech and impel cv b,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.0475,,,funded,funded,,,,
BF2_8fb3af7f924bb19a013996,2025-09-30,2025Q3,BCRED,BXSL,"Experity, Inc. 1","Experity, Inc. 2",experity,experity,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.06,0.06,,,funded,funded,,,,
BF2_0f0a4d33cdf86b8cdbdd13,2024-03-31,2024Q1,ARCC,OCSL,"Mitchell International, Inc., Second lien senior secured loan","Mitchell International, Inc., First Lien Term Loan",mitchell international,mitchell international,debt,debt,other_debt,term_loan,second_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.065,0.0375,,,funded,funded,,,,
BF2_50dcfebd1f41077d0acbcf,2024-03-31,2024Q1,ARCC,ASIF,"PCS MidCo, Inc. and PCS Parent, L.P., First lien senior secured revolving loan","PCS MidCo, Inc. and PCS Parent, L.P., First lien senior secured loan",pcs midco and pcs parent,pcs midco and pcs parent,debt,debt,revolver,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0575,0.0575,,,funded,funded,,,,
BF2_da48f600893e27be1a1655,2024-09-30,2024Q3,ASIF,ARCC,"BradyPlus Holdings, LLC, First lien senior secured loan","BradyPlus Holdings, LLC, First lien senior secured loan",bradyplus,bradyplus,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.06,0.06,,,funded,funded,,,,
BF2_c60dfb2e0be2ee3ada9e91,2025-09-30,2025Q3,BCRED,BXSL,Qualus Power Services Corp. 3,Qualus Power Services Corp. 2,qualus power services,qualus power services,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_2462297c86967ce4f4bfa3,2024-09-30,2024Q3,ASIF,NMFC,"Brown Group Holding, LLC, First lien senior secured loan 1","Brown Group Holding, LLC, First lien - Funded",brown,brown,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0275,0.0275,,,funded,funded,,,,
BF2_ee8373ce81599ffa3b0275,2025-06-30,2025Q2,HPS,BXSL,123Dentist Inc 1,"123Dentist, Inc. 2",123dentist,123dentist,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_7219203bf5baefa9124be7,2024-12-31,2024Q4,OCIC,OBDC,"Granicus, Inc., First lien senior secured delayed draw term loan","Granicus, Inc., First lien senior secured delayed draw term loan",granicus,granicus,debt,debt,delayed_draw,delayed_draw,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,,,unknown,unknown,,,,
BF2_eac8706d1200ce7489a02d,2024-03-31,2024Q1,BXSL,HPS,"Circana Group, L.P.","Circana Group, LP. 1",circana,circana,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0575,0.0575,,,funded,funded,,,,
BF2_549ea92ec17bbc8c5202ad,2024-12-31,2024Q4,HPS,ARCC,"EIS Legacy Holdco, LLC 2","EIS Legacy Holdco, LLC, First lien senior secured loan",eis legacy holdco,eis legacy holdco,unknown,debt,unknown,other_debt,unknown,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0.0475,,,funded,funded,,,,
BF2_1058a09b7df17eef8e6721,2025-03-31,2025Q1,ASIF,ARCC,"Fever Labs, Inc., First lien senior secured loan","Fever Labs, Inc., First lien senior secured loan",fever labs,fever labs,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,funded,funded,,,,
BF2_91d6828136d7cf7ed792d5,2025-09-30,2025Q3,ASIF,ARCC,"Airx Climate Solutions, Inc., First lien senior secured loan 2","Airx Climate Solutions, Inc., First lien senior secured loan 1",airx climate solutions,airx climate solutions,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_3a2ae4498bf11937ccbbab,2025-06-30,2025Q2,ASIF,ARCC,"Frontline Road Safety Operations, LLC, First lien senior secured revolving loan","Frontline Road Safety Operations, LLC, First lien senior secured loan 1",frontline road safety operations,frontline road safety operations,debt,debt,revolver,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_a771bdf7541bb5c94d6848,2024-03-31,2024Q1,OBDC,OCIC,"Fullsteam Operations, LLC, First lien senior secured revolving loan","Fullsteam Operations, LLC, First lien senior secured delayed draw term loan 1",fullsteam operations,fullsteam operations,debt,debt,revolver,delayed_draw,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0825,0.0825,,,funded,unknown,,,,
BF2_faaa616117e0268c8eeb56,2024-09-30,2024Q3,OBDC,OCIC,"Maple Acquisition, LLC (dba Medicus), First lien senior secured revolving loan","Maple Acquisition, LLC (dba Medicus), First lien senior secured loan",maple acquisition dba medicus,maple acquisition dba medicus,debt,debt,revolver,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,,,funded,funded,,,,
BF2_19f07253674cb7bf6ec4ac,2025-09-30,2025Q3,ASIF,ARCC,"Pathstone Family Office LLC and Kelso XI Tailwind Co-Investment, L.P., First lien senior secured loan","Pathstone Family Office LLC and Kelso XI Tailwind Co-Investment, L.P., First lien senior secured loan 3",pathstone family office and kelso xi tailwind investment,pathstone family office and kelso xi tailwind investment,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_9446c8e885771cee6ab42b,2025-06-30,2025Q2,ASIF,ARCC,"CPIG Holdco Inc., First lien senior secured revolving loan","CPIG Holdco Inc., First lien senior secured loan",cpig holdco,cpig holdco,debt,debt,revolver,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.07,,,funded,funded,,,,
BF2_17b7f3c83a31702229c2c6,2024-12-31,2024Q4,OCIC,OBDC,"Diamond Mezzanine 24 LLC (dba United Risk), First lien senior secured loan","Diamond Mezzanine 24 LLC (dba United Risk), First lien senior secured loan",diamond mezzanine dba united risk,diamond mezzanine dba united risk,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_c797f8c0dace5eacb8dd1b,2024-12-31,2024Q4,ARCC,ASIF,"Proofpoint, Inc., First lien senior secured loan","Proofpoint, Inc., First lien senior secured loan",proofpoint,proofpoint,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.03,0.03,,,funded,funded,,,,
BF2_a209d0128f66161135ab2b,2024-12-31,2024Q4,BCRED,BXSL,"Mandolin Technology Holdings, Inc. - Series A Preferred Shares","Mandolin Technology Holdings, Inc. - Series A Preferred Shares",mandolin technology a shares,mandolin technology a shares,equity,equity,preferred_equity,preferred_equity,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,funded,funded,,,,
BF2_e3c45995107498fe1d65fe,2025-09-30,2025Q3,BCRED,HPS,"Dwyer Instruments, LLC 2",Dwyer Instruments Inc 1,dwyer instruments,dwyer instruments,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.0475,,,funded,funded,,,,
BF2_5c7cbc9ca5a2b65129acf7,2025-03-31,2025Q1,OCIC,NMFC,"CoreTrust Purchasing Group LLC, First lien senior secured loan","CoreTrust Purchasing Group LLC, First lien",coretrust purchasing,coretrust purchasing,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,,,funded,funded,,,,
BF2_5f0a7d7bb088c7647ebf6a,2024-12-31,2024Q4,ASIF,ARCC,"Spark Purchaser, Inc., First lien senior secured loan","Spark Purchaser, Inc., First lien senior secured loan",spark purchaser,spark purchaser,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.055,0.055,,,funded,funded,,,,
BF2_a6de48642e87de359764df,2024-03-31,2024Q1,OBDC,OCIC,"KENE Acquisition, Inc. (dba Entrust Solutions Group), First lien senior secured revolving loan","KENE Acquisition, Inc. (dba Entrust Solutions Group), First lien senior secured revolving loan",kene acquisition dba entrust solutions,kene acquisition dba entrust solutions,debt,debt,revolver,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,,,funded,funded,,,,
BF2_c32212f047e892675a569f,2024-06-30,2024Q2,BCRED,BXSL,"Frontline Road Safety Investments, LLC - Class A Common Units","Frontline Road Safety Investments, LLC - Class A Common Units",frontline road safety investments a units,frontline road safety investments a units,equity,equity,common_equity,common_equity,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,,,funded,funded,,,,
BF2_c66e3e26938db919e7ed6a,2024-03-31,2024Q1,ASIF,ARCC,"WCI-BXC Purchaser, LLC and WCI-BXC Investment Holdings, L.P., First lien senior secured loan","WCI-BXC Purchaser, LLC and WCI-BXC Investment Holdings, L.P., First lien senior secured loan",wci bxc purchaser and wci bxc investment,wci bxc purchaser and wci bxc investment,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0625,0.0625,,,funded,funded,,,,
BF2_5c7ccc338362e783e5ade5,2024-09-30,2024Q3,OBDC,OCIC,"Indikami Bidco, LLC (dba IntegriChain), First lien senior secured loan","Indikami Bidco, LLC (dba IntegriChain), First lien senior secured delayed draw term loan",indikami bidco dba integrichain,indikami bidco dba integrichain,debt,debt,other_debt,delayed_draw,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.065,0.06,,,funded,unknown,,,,
BF2_e6078a8aa6eaa3a89d841f,2024-06-30,2024Q2,BCRED,HPS,"Apex Group Treasury, LLC 2",Apex Group Treasury LLC,apex treasury,apex treasury,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_12eaa34dcf414431bb3bc7,2023-12-31,2023Q4,ASIF,ARCC,"BCTO Ignition Purchaser, Inc., First lien senior secured loan","BCTO Ignition Purchaser, Inc., First lien senior secured loan",bcto ignition purchaser,bcto ignition purchaser,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.09,0.09,,,funded,funded,,,,
BF2_69682169f98f3e6d7b8d3d,2023-12-31,2023Q4,BCRED,GBDC,"Integrity Marketing Acquisition, LLC 3","Integrity Marketing Acquisition, LLC, Senior secured 1",integrity marketing acquisition,integrity marketing acquisition,unknown,debt,unknown,other_debt,unknown,secured_unspecified,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0602,0.0605,,,funded,funded,,,,
BF2_684fa1ad02f7f0e57d71f5,2025-06-30,2025Q2,ASIF,OCIC,"RealPage, Inc., First lien senior secured loan 2","RealPage, Inc., First lien senior secured loan 1",realpage,realpage,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.03,0.03,,,funded,funded,,,,
BF2_1c8febf03a6349cb5ea68a,2024-03-31,2024Q1,BCRED,HPS,"Frontgrade Technologies Holdings, Inc.",Frontgrade Technologies Holdings Inc. 2,frontgrade technologies,frontgrade technologies,unknown,unknown,unknown,unknown,unknown,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0675,0.0675,,,funded,funded,,,,
BF2_16dac7cde373c0b50bcc00,2025-06-30,2025Q2,OCIC,ASIF,"Cambrex Corporation, First lien senior secured loan","Cambrex Corporation, First lien senior secured loan",cambrex,cambrex,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.0475,,,funded,funded,,,,
BF2_7249554e624d22c4a3e995,2023-12-31,2023Q4,OCIC,OBDC,"Sovos Brands Intermediate, Inc., First lien senior secured loan","Sovos Brands Intermediate, Inc., First lien senior secured loan",sovos brands intermediate,sovos brands intermediate,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.035,0.035,,,funded,funded,,,,
BF2_08413d8ddc61eeaa8acb7a,2024-06-30,2024Q2,NMFC,OCIC,"OMNIA Partners, LLC, First lien - Funded","Omnia Partners, LLC, First lien senior secured loan",omnia partners,omnia partners,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0325,0.0325,,,funded,funded,,,,
BF2_84026583521e8348c2a454,2024-03-31,2024Q1,OCIC,OBDC,"Kaseya Inc., First lien senior secured revolving loan","Kaseya Inc., First lien senior secured revolving loan",kaseya,kaseya,debt,debt,revolver,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.055,0.055,,,funded,funded,,,,
BF2_0f203d60073b265191e292,2025-03-31,2025Q1,OBDC,NMFC,"Baker Tilly Advisory Group, LP, First lien senior secured loan","Baker Tilly Advisory Group, LP, First lien",baker tilly advisory,baker tilly advisory,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0475,0.0475,,,funded,funded,,,,
BF2_f466862fe9e3ced842fb3e,2025-03-31,2025Q1,BCRED,NMFC,"DCA Investment Holdings, LLC 1","DCA Investment Holding, LLC, First lien 2",dca investment,dca investment,unknown,debt,unknown,other_debt,unknown,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0641,0.065,,,funded,funded,,,,
BF2_73b13d59bee03cef311666,2024-12-31,2024Q4,ASIF,ARCC,"Mountaineer Merger Corporation, First lien senior secured revolving loan","Mountaineer Merger Corporation, First lien senior secured revolving loan",mountaineer merger,mountaineer merger,debt,debt,revolver,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
BF2_864126e7d1f1d7571d29cb,2024-06-30,2024Q2,ARCC,ASIF,"Acrisure, LLC, First lien senior secured loan","Acrisure, LLC, First lien senior secured loan 1",acrisure,acrisure,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0325,0.0325,,,funded,funded,,,,
BF2_7f05e0458f744f45bad560,2025-09-30,2025Q3,OBDC,OCIC,"Walker Edison Furniture Company LLC, First lien senior secured loan 2","Walker Edison Furniture Company LLC, First lien senior secured revolving loan",walker edison furniture,walker edison furniture,debt,debt,other_debt,revolver,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,0.0625,,,funded,funded,,,,
BF2_052bee0d10a5881d48761e,2024-03-31,2024Q1,ARCC,ASIF,"Sophia, L.P., Second lien senior secured loan","Sophia, L.P., First lien senior secured loan",sophia,sophia,debt,debt,other_debt,other_debt,second_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.08,0.0425,,,funded,funded,,,,
BF2_3306db5c1945b334d54229,2024-09-30,2024Q3,OCIC,OBDC,"Wrench Group LLC, First lien senior secured loan","Wrench Group LLC, First lien senior secured loan",wrench,wrench,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.04,0.04,,,funded,funded,,,,
BF2_04ae26f5b38311a0bab579,2024-06-30,2024Q2,OBDC,OCIC,"Maple Acquisition, LLC (dba Medicus), First lien senior secured revolving loan","Maple Acquisition, LLC (dba Medicus), First lien senior secured delayed draw term loan",maple acquisition dba medicus,maple acquisition dba medicus,debt,debt,revolver,delayed_draw,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0525,0.0525,,,funded,unknown,,,,
BF2_8d3ff8658f67e09acb4fcc,2024-12-31,2024Q4,OBDC,OCIC,"GI Apple Midco LLC (dba Atlas Technical Consultants), First lien senior secured loan","GI Apple Midco LLC (dba Atlas Technical Consultants), First lien senior secured loan",gi apple midco dba atlas technical consultants,gi apple midco dba atlas technical consultants,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0675,0.0675,,,funded,funded,,,,
BF2_33e01aad6ddccae9dd90aa,2024-03-31,2024Q1,BCRED,NMFC,"KPSKY Acquisition, Inc. 1","KPSKY Acquisition Inc., First lien 1",kpsky acquisition,kpsky acquisition,unknown,debt,unknown,other_debt,unknown,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.0535,0.0525,,,funded,funded,,,,
BF2_70fa1a95f0d4fe388e1742,2025-09-30,2025Q3,ASIF,ARCC,"Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP, First lien senior secured loan","Activate Holdings (US) Corp. and CrossPoint Capital AS SPV, LP ., First lien senior secured loan",activate us and crosspoint capital as spv,activate us and crosspoint capital as spv,debt,debt,other_debt,other_debt,first_lien,first_lien,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.055,0.055,,,funded,funded,,,,
BF2_7ceaf8711410afabfde515,2025-03-31,2025Q1,ARCC,BCRED,"BradyPlus Holdings, LLC, First lien senior secured loan",Bradyplus Holdings LLC 2,bradyplus,bradyplus,debt,unknown,other_debt,unknown,first_lien,unknown,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0.05,0.05,,,funded,funded,,,,
