blind_alias_id,period_end,source_ticker,source_borrower_norm,source_identifier,source_facility_type,source_lien,source_currency,source_reference_rate,source_spread,source_maturity,source_funded_status,candidate_ticker,candidate_borrower_norm,candidate_identifier,candidate_facility_type,candidate_lien,candidate_currency,candidate_reference_rate,candidate_spread,candidate_maturity,candidate_funded_status,manual_same_borrower,manual_same_facility,review_notes
BA2_0910ebcf484d69b74fbb80,2025-09-30,ARCC,the hiller companies,"The Hiller Companies, LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,NMFC,trc companies,"TRC Companies LLC, First Lien - Funded | TRC Companies LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.03,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Companies"" is shared; distinctive names differ entirely. Different borrowers."
BA2_0e1af86f7a755709172ecd,2025-09-30,ARCC,dynamic nc aerospace and dynamic nc investment,"Dynamic NC Aerospace Holdings, LLC and Dynamic NC Investment Holdings, LP, First lien senior secured revolving loan 1",revolver,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_1cd768c79381a639b1f6ff,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 4",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First Lien - Funded | Cardinal Parent, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: spread 0.0600 vs 0.0450, far beyond rounding."
BA2_772df1ecbdf2935de68ddf,2025-09-30,ARCC,bgi purchaser,"BGI Purchaser, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_ea37621ce8ed2fb0a2ded0,2025-09-30,ARCC,laboratories bidco and laboratories topco,"Laboratories Bidco LLC and Laboratories Topco LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0175,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_265221d30a7e36ec61d19c,2025-09-30,ARCC,psc parent,"PSC Parent, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.0525,,funded,NMFC,amspec parent,"AmSpec Parent, LLC 1, First Lien - Funded | AmSpec Parent, LLC 1, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.035,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Parent"" is shared; the distinctive name differs entirely. Different borrowers."
BA2_4206e0610ee739abf1a903,2025-09-30,ARCC,psc parent,"PSC Parent, Inc., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.0525,,funded,NMFC,railpros parent,"RailPros Parent, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Parent"" is shared; the distinctive name differs entirely. Different borrowers."
BA2_87c70140827c13baf55056,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 4",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0775,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: lien conflict (first_lien vs second_lien)."
BA2_381f0ee5576bcd24a8417d,2025-09-30,ARCC,watermill express and watermill express,"Watermill Express, LLC and Watermill Express Holdings, LLC, First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0475,,funded,NMFC,mavis tire express services topco,"Mavis Tire Express Services Topco, Corp., First Lien - Funded | Mavis Tire Express Services Topco, Corp., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.03,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Express"" is shared; the businesses named are otherwise unrelated. Different borrowers."
BA2_0f28f4908a09684d9cc12b,2025-09-30,ARCC,bgi purchaser,"BGI Purchaser, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_29630311c2a0c282a8830f,2025-09-30,ARCC,nordic ferry infrastructure as,"Nordic Ferry Infrastructure AS, Senior subordinated loan 2",other_debt,subordinated,UNKNOWN,UNKNOWN,0.05,,funded,OBDC,eagle infrastructure services,"Eagle Infrastructure Services, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.075,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Infrastructure"" is shared; distinctive names and jurisdictions differ. Different borrowers."
BA2_2b58f818531a8b554bfb59,2025-09-30,ARCC,continental acquisition,"Continental Acquisition Holdings, Inc., First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,OBDC,continental finance,"Continental Finance Company, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,uncertain,uncertain,"Independent reviewers agreed. Source is ""Continental Acquisition Holdings"" and the candidate is ""Continental Finance Company"". The shared leading token is consistent with an acquisition vehicle over the operating company, but the descriptors differ and the source spread is missing, so identity cannot be confirmed or excluded from this row alone."
BA2_a2b5bab6d4cc995ddb1a5b,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., Senior subordinated loan 3",other_debt,subordinated,UNKNOWN,UNKNOWN,,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0775,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: lien conflict (subordinated vs second_lien)."
BA2_a2b553bd10724634f209ec,2025-09-30,ARCC,argenbright v amberstone security unifi aviation north america and unifi aviation canada,"Argenbright Holdings V, LLC, Amberstone Security Group Limited, Unifi Aviation North America LLC and Unifi Aviation Canada, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,OBDC,aam aviation feeder specialty finance investment,"AAM Series 2.1 Aviation Feeder, LLC, Specialty finance debt investment",other_debt,unknown,UNKNOWN,UNKNOWN,,,funded,no,not_applicable,"Independent reviewers agreed. Match rests on generic tokens (""Feeder"", ""Aviation"") only; the candidate is a separate specialty finance vehicle with a different name. Different borrowers."
BA2_c1e8811ac6ec2433b0fb70,2025-09-30,ARCC,cpig holdco,"CPIG Holdco Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.07,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_86f16d17c87b9c1725227f,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., Senior subordinated loan 3",other_debt,subordinated,UNKNOWN,UNKNOWN,,,funded,NMFC,american achievement aka aac,"American Achievement Corporation (aka AAC Holding Corp.), First lien 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.005,,funded,no,not_applicable,"Independent reviewers agreed. Candidate is a differently named company with no token overlap with the source obligor group; spreads are also far apart (0.0600 vs 0.0050). Different borrowers, so no facility comparison applies."
BA2_5381a2043ad234c222936b,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., Senior subordinated loan 3",other_debt,subordinated,UNKNOWN,UNKNOWN,,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: lien conflict (subordinated vs first_lien)."
BA2_ad3ffc78aacfad19c3a36c,2025-09-30,ARCC,quick quack car wash and kkr game changer invest feeder ii,"Quick Quack Car Wash Holdings, LLC and KKR Game Changer Co-Invest Feeder II L.P., First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0475,,funded,OBDC,aam rail and domestic intermodal feeder specialty finance investment,"AAM Series 1.1 Rail and Domestic Intermodal Feeder, LLC, Specialty finance debt investment",other_debt,unknown,UNKNOWN,UNKNOWN,,,funded,no,not_applicable,"Independent reviewers agreed. Match rests on the generic token ""Feeder"" only; the candidate is a separate specialty finance vehicle with a different name. Different borrowers."
BA2_834131d2cd5d1898252054,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,american achievement aka aac,"American Achievement Corporation (aka AAC Holding Corp.), First lien 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.005,,funded,no,not_applicable,"Independent reviewers agreed. Candidate is a differently named company with no token overlap with the source obligor group; spreads are also far apart (0.0600 vs 0.0050). Different borrowers, so no facility comparison applies."
BA2_9989f850822270c66bfeff,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First Lien - Funded | Cardinal Parent, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: spread 0.0600 vs 0.0450, far beyond rounding."
BA2_2bbe6de5321047d91e36f8,2025-09-30,ARCC,premiere buyer,"Premiere Buyer, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_5d382f97e778547552d30b,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 3",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,american achievement aka aac,"American Achievement Corporation (aka AAC Holding Corp.), First lien 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.005,,funded,no,not_applicable,"Independent reviewers agreed. Candidate is a differently named company with no token overlap with the source obligor group; spreads are also far apart (0.0600 vs 0.0050). Different borrowers, so no facility comparison applies."
BA2_dd779e52054d461c9b5a3a,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,american achievement aka aac,"American Achievement Corporation (aka AAC Holding Corp.), First lien 2",other_debt,first_lien,UNKNOWN,UNKNOWN,0.005,,funded,no,not_applicable,"Independent reviewers agreed. Candidate is a differently named company with no token overlap with the source obligor group; spreads are also far apart (0.0600 vs 0.0050). Different borrowers, so no facility comparison applies."
BA2_f6e8ac3dc5b32bd50931fe,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 3",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: spread 0.0600 vs 0.0450, far beyond rounding."
BA2_5052b64d8b974d411d8042,2025-09-30,ARCC,w s connelly and and wsc ultimate,"W.S. Connelly & Co., LLC and WSC Ultimate Holdings, LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_3ff7ebf9e37b70abb8e01e,2025-09-30,ARCC,wshp fc acquisition and wshp fc,"WSHP FC Acquisition LLC and WSHP FC Holdings LLC, First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_410db3fa539fbb5dc62775,2025-09-30,ARCC,argenbright v amberstone security unifi aviation north america and unifi aviation canada,"Argenbright Holdings V, LLC, Amberstone Security Group Limited, Unifi Aviation North America LLC and Unifi Aviation Canada, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,OBDC,sts parent dba sts aviation,"STS PARENT, LLC (dba STS Aviation Group), First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Aviation"" is shared with the source obligor group; legal names differ entirely. Different borrowers."
BA2_37493cfd887d29335e45a0,2025-09-30,ARCC,the hiller companies,"The Hiller Companies, LLC, First lien senior secured loan 2",other_debt,first_lien,UNKNOWN,UNKNOWN,,,funded,OBDC,denali buyerco dba summit companies,"Denali BuyerCo, LLC (dba Summit Companies), First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0525,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Companies"" is shared via the candidate trade name; the legal names are unrelated. Different borrowers."
BA2_328fdfe4f82bd276b73cd0,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., Second lien",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0775,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: lien conflict (first_lien vs second_lien)."
BA2_facf1462890e1f0ae99c03,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., First lien senior secured loan 4",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: spread 0.0600 vs 0.0450, far beyond rounding."
BA2_5da725ec7109ab72ff96eb,2025-09-30,ARCC,registrar intermediate and psp registrar investment fund,"Registrar Intermediate, LLC and PSP Registrar Co-Investment Fund, L.P., First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_ca04cff694db0889c54020,2025-09-30,ARCC,argenbright v amberstone security unifi aviation north america and unifi aviation canada,"Argenbright Holdings V, LLC, Amberstone Security Group Limited, Unifi Aviation North America LLC and Unifi Aviation Canada, Inc. Senior subordinated loan 1",other_debt,subordinated,UNKNOWN,UNKNOWN,0.0925,,funded,OBDC,sts parent dba sts aviation,"STS PARENT, LLC (dba STS Aviation Group), First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Aviation"" is shared with the source obligor group; legal names differ entirely. Different borrowers."
BA2_d1592b01409cc872a8c5db,2025-09-30,ARCC,new churchill holdco and victory topco,"New ChurcHill HoldCo LLC and Victory Topco, LP, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
BA2_001ce2f02c7276e15cf8d7,2025-09-30,ARCC,psc parent,"PSC Parent, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,NMFC,amspec parent,"AmSpec Parent, LLC, First lien - Unfunded",other_debt,first_lien,UNKNOWN,UNKNOWN,0,,unfunded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Parent"" is shared; the distinctive name differs entirely. Different borrowers."
BA2_40e6a5e3010b400dff324a,2025-09-30,ARCC,psc parent,"PSC Parent, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,NMFC,disco parent,"Disco Parent, Inc., First Lien - Funded | Disco Parent, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Parent"" is shared; the distinctive name differs entirely. Different borrowers."
BA2_84981276ffcd34501b12c8,2025-09-30,ARCC,argenbright v amberstone security unifi aviation north america and unifi aviation canada,"Argenbright Holdings V, LLC, Amberstone Security Group Limited, Unifi Aviation North America LLC and Unifi Aviation Canada, Inc. Senior subordinated loan 1",other_debt,subordinated,UNKNOWN,UNKNOWN,0.0925,,funded,OBDC,sts parent dba sts aviation,"STS PARENT, LLC (dba STS Aviation Group), First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,no,not_applicable,"Independent reviewers agreed. Only the generic token ""Aviation"" is shared with the source obligor group; legal names differ entirely. Different borrowers."
BA2_e9abba9f535bc68c8c6d77,2025-09-30,ARCC,north american science associates cardinal purchaser and cardinal topco,"North American Science Associates, LLC, Cardinal Purchaser LLC and Cardinal Topco Holdings, L.P., Senior subordinated loan 3",other_debt,subordinated,UNKNOWN,UNKNOWN,,,funded,NMFC,cardinal parent,"Cardinal Parent, Inc., First Lien - Funded | Cardinal Parent, Inc., First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.045,,funded,yes,no,"Adjudicated after reviewer disagreement. Source identifier bundles the borrower with the candidate name (the token cardinal appears inside the source string itself), which is direct textual co-obligor evidence rather than a mere Parent/Topco naming guess, so same borrower group is accepted. Facility differs: lien conflict (subordinated vs first_lien)."
BA2_3ddc93bff44d52b63f9b88,2025-09-30,ARCC,flint opco,"Flint OpCo, LLC, First lien senior secured loan 1",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0475,,funded,,,,,,,,,,,uncertain,uncertain,"Adjudicated after reviewer disagreement. No candidate side was observed for this source facility, so borrower identity cannot be assessed and there is no second facility to compare. Recorded as a non-observation rather than a negative: these rows must be excluded from any precision or recall denominator, not counted as true negatives."
