event_id,security_code,issuer,publication_timestamp_jst,title_jp,yanoshin_id,yanoshin_document_url,sample_seed,sample_locked,recovery_status,old_revenue,new_revenue,old_operating_profit,new_operating_profit,old_ordinary_profit,new_ordinary_profit,old_net_income,new_net_income,evidence_url,failure_reason
JP_Y903221,8369,京都銀,2023-01-31 15:00:00,業績予想の修正に関するお知らせ,903221,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230130595904.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y943479,4412,Ｇ－サイエンスアーツ,2023-07-14 15:00:00,通期業績予想の修正に関するお知らせ,943479,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230714522619.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y945914,4189,ＫＨネオケム,2023-07-28 15:17:00,業績予想の修正に関するお知らせ,945914,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230602594244.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y946339,3300,Ｇ－アンビションＤＸ,2023-07-31 15:00:00,2023年6月期通期連結業績予想の修正に関するお知らせ,946339,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120230731530623.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y979668,2607,不二製油Ｇ,2024-01-23 15:00:00,特別損失の計上及び通期業績予想の修正に関するお知らせ,979668,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240122517731.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y980013,6755,富士通ゼ,2024-01-25 16:00:00,業績予想の修正に関するお知らせ,980013,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240125518924.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y980033,9878,セキド,2024-01-25 17:00:00,2024年３月期通期業績予想の修正に関するお知らせ,980033,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240125519246.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y980930,4367,広栄化学,2024-01-31 13:00:00,2024年３月期業績予想の修正に関するお知らせ,980930,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240130522481.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y981544,8014,蝶理,2024-01-31 16:00:00,通期連結業績予想の修正に関するお知らせ,981544,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240131523248.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
JP_Y981567,6111,旭精機,2024-01-31 16:10:00,業績予想の修正に関するお知らせ,981567,https://webapi.yanoshin.jp/rd.php?https://www.release.tdnet.info/inbs/140120240124518448.pdf,20260813,True,invalid_window_design,,,,,,,,,,Superseded before recovery: all source events end by 2024-07-31 and fall outside the J-Quants Free rolling two-year history window as of 2026-08-14.
