review_observation_id,source_event_cluster_id,normalized_borrower,source_ticker,target_ticker,target_prior_identifier,target_prior_facility_type,target_prior_lien,target_prior_currency,target_prior_reference_rate,target_prior_spread,target_prior_maturity,target_prior_funded_status,target_prior_constituent_descriptions,target_prior_aggregation_lot_count,target_prior_evidence_id,target_current_identifier,target_current_facility_type,target_current_lien,target_current_currency,target_current_reference_rate,target_current_spread,target_current_maturity,target_current_funded_status,target_current_constituent_descriptions,target_current_aggregation_lot_count,target_current_evidence_id,target_current_same_facility,target_current_aggregation_valid,position_status,structural_notes
D4R_471ad39ad464824a5083dcec,D4C_73c5d7239c7547b083e185eb,imprivata,ARCC,OBDC,"Imprivata, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0625,,funded,"[""Imprivata, Inc., Second lien senior secured loan""]",1,EVID_c55bc16ef788235ffc55f0e1a730,"Imprivata, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.0625,,funded,"[""Imprivata, Inc., Second lien senior secured loan""]",1,D4SE_4f39cac68078cc2ef01a18c0,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, second_lien, other_debt type, 0.0625 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The second-lien wording is an explicit tranche discriminator. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien second_lien, funded status funded, spread 0.0625, and lot count 1 are aligned."
D4R_5cf37f37d8cc75658fecf0cd,D4C_2f148f8a7178279f44b55e68,realpage,NMFC,OBDC,"REALPAGE, INC., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""REALPAGE, INC., Second lien senior secured loan""]",1,EVID_1abab95be3504ed66ea83edfcad4,"RealPage, Inc., Second lien senior secured loan",other_debt,second_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""RealPage, Inc., Second lien senior secured loan""]",1,D4SE_fb1a8a7a9d690af6890e4463,yes,yes,continuing,"Reviewer D: Prior 'REALPAGE, INC.' and current 'RealPage, Inc.' differ only in letter case; second_lien, other_debt type, funded status, 0.065 spread and the single constituent lot match, so the difference is formatting. Currency, reference rate and maturity are missing on both sides and were not used to support the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match apart from capitalization or punctuation; facility type other_debt, lien second_lien, funded status funded, spread 0.065, and lot count 1 are aligned."
D4R_63b2a05cc278206fb1ea62f5,D4C_de4b0b522f99cae982e64890,physician partners,OBDC,NMFC,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien - Funded""]",1,EVID_9f77a017c5960111b8146b800367,"Physician Partners, LLC, First lien - Funded",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien - Funded""]",1,D4SE_0cb832afbf6761a32bbaf37d,yes,yes,continuing,"Reviewer D: Both sides carry the identical 'First lien - Funded' identifier with first_lien, funded status, other_debt type, 0.04 spread and one constituent lot. The explicit funded qualifier inside the identifier is an additional discriminator against an unfunded commitment tranche. Currency, reference rate and maturity are unavailable and were not used. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
D4R_6ee2291c04b00d1b22b7b267,D4C_4a7fcd14285a77567413401c,icefall parent,ARCC,NMFC,"Icefall Parent, Inc. First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""Icefall Parent, Inc. First lien""]",1,EVID_1c4396e3501b79b508a941facf5e,"Icefall Parent, Inc., First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""Icefall Parent, Inc., First lien""]",1,D4SE_267c5008daeb9a3273a9e605,yes,yes,continuing,"Reviewer D: Prior 'Icefall Parent, Inc. First lien' and current 'Icefall Parent, Inc., First lien' differ only by one comma; first_lien, other_debt type, funded status, 0.065 spread and the single constituent lot are identical, so the difference is punctuation formatting. Currency, reference rate and maturity are blank or UNKNOWN on both sides and were treated as missing evidence. | Reviewer E: Prior/current identifier and constituent description match apart from capitalization or punctuation; facility type other_debt, lien first_lien, funded status funded, spread 0.065, and lot count 1 are aligned."
D4R_727e71576f0adc597105703e,D4C_882104d237f3d6dd3c7b3486,confluent health,NMFC,OBDC,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Confluent Health, LLC, First lien senior secured loan""]",1,EVID_1a89a59870047266a7d3d1911b23,"Confluent Health, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Confluent Health, LLC, First lien senior secured loan""]",1,D4SE_c8b202bfb23ad6ae3b9f3464,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
D4R_7670a049ffc59284be623965,D4C_12345993a9ab095734458c90,athenahealth,NMFC,OBDC,"Athenahealth Group Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,"[""Athenahealth Group Inc., First lien senior secured loan""]",1,EVID_639acd1978b2b645943ddbec39fd,"Athenahealth Group Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0325,,funded,"[""Athenahealth Group Inc., First lien senior secured loan""]",1,D4SE_32aaae64fda6352f2a8e2690,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0325 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0325, and lot count 1 are aligned."
D4R_76b859d80360a81d9d5c270a,D4C_a1017863b41dfa6536a58b29,confluent medical technologies,NMFC,OBDC,"Confluent Medical Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,"[""Confluent Medical Technologies, Inc., First lien senior secured loan""]",1,EVID_56ea001b1f5c827be6fb87f308ca,"Confluent Medical Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.0375,,funded,"[""Confluent Medical Technologies, Inc., First lien senior secured loan""]",1,D4SE_244c384b738a6fd59bf427fd,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.0375 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.0375, and lot count 1 are aligned."
D4R_777e7c967340248687097994,D4C_f1fa67b3c71fc9ca511097e7,associations,NMFC,OBDC,"Associations, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.065,,funded,"[""Associations, Inc., First lien senior secured loan""]",1,EVID_312e057eab69a158a39e8510c239,"Associations, Inc., First lien senior secured delayed draw term loan",delayed_draw,first_lien,UNKNOWN,UNKNOWN,0.065,,unknown,"[""Associations, Inc., First lien senior secured delayed draw term loan""]",1,D4SE_7eebd2fd674cac2e2bbcbe2d,no,yes,unmatched_disappearance,"Reviewer D: Prior is a funded first lien senior secured loan under other_debt. The only displayed current structure is a first lien senior secured delayed draw term loan with facility type delayed_draw and funded status unknown. Facility type and funded status conflict, and the delayed draw wording denotes a distinct contractual tranche, so this is not the prior funded term facility despite the shared borrower, lien and 0.065 spread. The current side is a single lot with one coherent delayed draw description, so the aggregation itself is internally consistent. No exact structural candidate for the prior funded loan is displayed, and the packet shows no repayment, sale or refinancing evidence, so the disappearance is not attributable. | Reviewer E: Prior is a funded other_debt 'senior secured loan'; current is delayed_draw with unknown funded status and 'delayed draw term loan' wording. The single current lot is coherent, but no exact continuing prior facility is shown."
D4R_89011b3c621fd1f9e6856963,D4C_6f17e958867337e7b952aecb,forescout technologies,ARCC,OBDC,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,EVID_1eef12f21c781ff4a735d1bcd520,"Forescout Technologies, Inc., First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.05,,funded,"[""Forescout Technologies, Inc., First lien senior secured loan""]",1,D4SE_0cb41768bc757f11de39d8d5,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.05 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.05, and lot count 1 are aligned."
D4R_92c14af825841f163b269f1a,D4C_d8e62707d06fcd67ca0d7e7d,community brands parentco,ARCC,NMFC,"Community Brands ParentCo, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien""]",1,EVID_8fc2b852be06557829ebb5e7702c,"Community Brands ParentCo, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien""]",1,D4SE_35fffed60f7ec46caecc3961,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.055 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.055, and lot count 1 are aligned."
D4R_94d631ce61b94754d8e2e7ac,D4C_430edc2d182c7ce0d6e2ca71,community brands parentco,ARCC,NMFC,"Community Brands ParentCo, LLC, First Lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First Lien""]",1,EVID_73729cf79c0535642ecc69c977a0,"Community Brands ParentCo, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.055,,funded,"[""Community Brands ParentCo, LLC, First lien""]",1,D4SE_6c98c85cdba921318c8db08c,yes,yes,continuing,"Reviewer D: Prior 'First Lien' and current 'First lien' differ only in capitalisation; first_lien, other_debt type, funded status, 0.055 spread and the single constituent lot are identical, so the difference is disclosure formatting. Currency, reference rate and maturity are unavailable on both sides. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match apart from capitalization or punctuation; facility type other_debt, lien first_lien, funded status funded, spread 0.055, and lot count 1 are aligned."
D4R_a090c63f75ee562bc6f9ef0a,D4C_916829a2249a81a0b8cdecc7,pluralsight,OCSL,OBDC,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,EVID_90fcd1d249dea8acfd46abd9b348,"Pluralsight, LLC, First lien senior secured revolving loan",revolver,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured revolving loan""]",1,D4SE_f32d4d38f12f6757e2c4f209,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, revolver facility type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The revolving loan wording distinguishes this from the borrower's non-revolving rows. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type revolver, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
D4R_a1156685a562cbc4e55d9dac,D4C_0b4a61e9bc5641cbaf2a0a49,pluralsight,ARCC,OBDC,"Pluralsight, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured loan""]",1,EVID_c7bfa71969340e089e6de69d6e60,"Pluralsight, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.08,,funded,"[""Pluralsight, LLC, First lien senior secured loan""]",1,D4SE_cec365cabc151f66bfee4956,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.08 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The identifier carries no revolving wording on either side, separating this row from the borrower's revolver rows. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.08, and lot count 1 are aligned."
D4R_a9e710e23cea3368c91e9215,D4C_181eac36dc737a830ceeca8e,next holdco,ARCC,NMFC,"Next Holdco, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""Next Holdco, LLC, First lien""]",1,EVID_cdef5a24418bce7c9b8156e8ac08,"Next Holdco, LLC, First lien",other_debt,first_lien,UNKNOWN,UNKNOWN,0.06,,funded,"[""Next Holdco, LLC, First lien""]",1,D4SE_7f311fbce043146dbbe37e91,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.06 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.06, and lot count 1 are aligned."
D4R_b2efd7a01d55a72bb3cf4893,D4C_dc612bcff91fce1eae770132,physician partners,NMFC,OBDC,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien senior secured loan""]",1,EVID_75201f9c1ddadbe2bfc4c9e17a21,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien senior secured loan""]",1,D4SE_eb143d6baf3c85afa4aa33f2,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
D4R_b3b49c043061744f181cd79b,D4C_64f123b672360c7612788afa,physician partners,NMFC,OBDC,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien senior secured loan""]",1,EVID_ad79b10190f1340b9a89bb136692,"Physician Partners, LLC, First lien senior secured loan",other_debt,first_lien,UNKNOWN,UNKNOWN,0.04,,funded,"[""Physician Partners, LLC, First lien senior secured loan""]",1,D4SE_85e4553609d7daa29822c72c,yes,yes,continuing,"Reviewer D: Prior and current identifier wording, first_lien, other_debt type, 0.04 spread, funded status and a single constituent lot are identical, with no facility-type, lien or tranche conflict displayed. Currency and reference rate are UNKNOWN and maturity is blank on both sides; these were treated as missing evidence and not used to create the match. The same target structure also appears in another source-event cluster, which does not change this prior-to-current comparison. | Reviewer E: Prior/current identifier and constituent description match; facility type other_debt, lien first_lien, funded status funded, spread 0.04, and lot count 1 are aligned."
